//X Y Z R G B PointSourceId ScanAngleRank ScanDirectionFlag NumberOfReturns ReturnNumber GpsTime Intensity
544497.40844727 258517.65454102 6.34299698 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.922250 9260.000000
544491.23461914 258516.19360352 6.40799942 42 42 42 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932213 10931.000000
544491.68090820 258516.25024414 6.38499680 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932216 9531.000000
544492.12573242 258516.31469727 6.38299789 41 41 41 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932218 10515.000000
544492.57006836 258516.38305664 6.38499680 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932220 9582.000000
544493.01538086 258516.44555664 6.37399902 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932222 9884.000000
544493.45922852 258516.51782227 6.38799896 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932224 9376.000000
544493.90356445 258516.58422852 6.38600006 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932227 10340.000000
544494.34936523 258516.64477539 6.36199799 35 35 35 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932229 9191.000000
544494.79321289 258516.71508789 6.36899796 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932231 9765.000000
544495.23754883 258516.78540039 6.36899796 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932233 9454.000000
544495.68090820 258516.85766602 6.37200012 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932235 10449.000000
544496.12475586 258516.92797852 6.37499847 41 41 41 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932238 10626.000000
544496.56958008 258516.99438477 6.35899963 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932240 10100.000000
544497.01440430 258517.06079102 6.34099808 41 41 41 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932242 10706.000000
544497.45776367 258517.13500977 6.34599915 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932244 9682.000000
544497.90209961 258517.20532227 6.33499756 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932246 10311.000000
544498.34448242 258517.28149414 6.34499969 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932249 10140.000000
544498.78784180 258517.35766602 6.35100021 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932251 10207.000000
544499.23071289 258517.43579102 6.35699692 42 42 42 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932253 10797.000000
544499.67358398 258517.51196289 6.35599747 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932255 10349.000000
544500.11499023 258517.59790039 6.38199844 47 47 47 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.932257 12032.000000
544491.33129883 258515.69165039 6.38600006 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942207 9422.000000
544491.77709961 258515.75024414 6.36699905 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942210 10411.000000
544492.22192383 258515.81274414 6.36399689 42 42 42 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942212 10786.000000
544492.66625977 258515.88110352 6.36599960 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942214 10209.000000
544493.11254883 258515.93774414 6.34199753 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942216 10093.000000
544493.55541992 258516.01586914 6.37200012 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942218 9873.000000
544494.00024414 258516.08032227 6.36399689 34 34 34 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.942221 8738.000000
